corridor_name,MainDTN,NFCh30m,NSCh2pD,TotCha,ChEBM,ChERM,ChE30,MDTN_B,MDTN_R,trucks_per_fast_charger,trucks_per_slow_charger,total_trucks_per_charger,fast_slow_ratio,fast_charger_percent,energy_per_fast_charger,energy_per_slow_charger,energy_per_truck,recommended_fast_chargers,fast_charger_deficit,charger_need_score
Galleria Piccaro Highway Corridor (Unknown Area),12.52,1.0,4.0,5.0,4.1,4.37,8.47,6.33,6.19,6.33,1.5475,2.504,0.25,20.0,4.1,1.0925,0.6765175718849841,1.0,0,0.11907092456396046
Motorway M4 Corridor (City of Bristol),13.18,2.0,1.0,3.0,8.67,0.61,9.28,12.31,0.87,6.155,0.87,4.3933333333333335,2.0,66.66666666666667,4.335,0.61,0.7040971168437026,1.0,0,0.11886463761476732
Motorway Europaweg Corridor (Ede),23.25,2.0,6.0,8.0,6.87,5.96,12.83,12.82,10.43,6.41,1.7383333333333333,2.90625,0.3333333333333333,25.0,3.435,0.9933333333333333,0.5518279569892474,1.0,0,0.11880418832572856
Ådalsveien Route (Buskerud),6.49,1.0,0.0,1.0,4.05,0.0,4.05,6.49,0.0,6.49,,6.49,,100.0,4.05,,0.6240369799691833,1.0,0,0.1185823900566285
Motorway M5 Corridor (Wyre Forest),12.63,2.0,1.0,3.0,8.3,0.11,8.42,12.46,0.17,6.23,0.17,4.21,2.0,66.66666666666667,4.15,0.11,0.6666666666666666,1.0,0,0.11819788825864641
Setesdalsvegen Route (Telemark),6.88,1.0,1.0,2.0,4.28,0.38,4.67,6.31,0.57,6.31,0.57,3.44,1.0,50.0,4.28,0.38,0.6787790697674418,1.0,0,0.1181741034260648
Predor Golo Rebro Highway Corridor (Slovenska Bistrica),22.32,2.0,5.0,7.0,6.01,4.17,10.19,13.24,9.08,6.62,1.816,3.1885714285714286,0.4,28.571428571428573,3.005,0.834,0.4565412186379928,1.0,0,0.11784561289841737
М1 Highway Corridor (Астроміцкі сельскі Савет),24.88,2.0,6.0,8.0,6.0,5.21,11.21,13.09,11.78,6.545,1.9633333333333332,3.11,0.3333333333333333,25.0,3.0,0.8683333333333333,0.4505627009646303,1.0,0,0.11775594185169203
Motorway A 20 Corridor (Bernstorf),17.68,1.0,6.0,7.0,3.54,6.02,9.56,6.4,11.28,6.4,1.88,2.525714285714286,0.16666666666666666,14.285714285714286,3.54,1.0033333333333332,0.5407239819004526,1.0,0,0.1174771735777055
Motorway Autoestrada da Beira Interior Corridor (Belmonte),27.58,1.0,11.0,12.0,3.43,11.13,14.56,6.19,21.4,6.19,1.9454545454545453,2.2983333333333333,0.09090909090909091,8.333333333333334,3.43,1.011818181818182,0.5279187817258884,1.0,0,0.11746542341022834
Motorway Autoestrada das Beiras Litoral e Alta Corridor (Guarda),8.86,1.0,2.0,3.0,3.88,1.24,5.12,6.43,2.44,6.43,1.22,2.953333333333333,0.5,33.333333333333336,3.88,0.62,0.5778781038374718,1.0,0,0.11733048774739284
Motorway A3 Corridor (Musić),19.36,2.0,3.0,5.0,5.27,2.16,7.44,13.75,5.61,6.875,1.87,3.872,0.6666666666666666,40.0,2.635,0.7200000000000001,0.3842975206611571,1.0,0,0.11720723537792621
Αθήνα - Θεσσαλονίκη - Εύζωνοι Highway Corridor (Stojakovo),10.76,1.0,2.0,3.0,2.9,1.7,4.6,6.95,3.8,6.95,1.9,3.5866666666666664,0.5,33.333333333333336,2.9,0.85,0.4275092936802974,1.0,0,0.11714088182348403
S7 Highway Corridor (Dosłońce),41.36,1.0,18.0,19.0,3.22,17.48,20.7,5.85,35.5,5.85,1.9722222222222223,2.176842105263158,0.05555555555555555,5.2631578947368425,3.22,0.9711111111111111,0.5004835589941973,1.0,0,0.11638295197692552
Great North Road Highway Corridor (Marholm),21.4,2.0,5.0,7.0,7.54,5.65,13.19,12.08,9.31,6.04,1.862,3.057142857142857,0.4,28.571428571428573,3.77,1.1300000000000001,0.616355140186916,1.0,0,0.11592846223880864
Ysitie Route (Hankasalmi),9.89,1.0,2.0,3.0,4.07,2.49,6.56,6.16,3.73,6.16,1.865,3.296666666666667,0.5,33.333333333333336,4.07,1.245,0.6632962588473205,1.0,0,0.1156683609615467
59 Corridor (Krušetnica),15.39,2.0,2.0,4.0,6.7,1.4,8.1,12.72,2.67,6.36,1.335,3.8475,1.0,50.0,3.35,0.7,0.5263157894736842,1.0,0,0.11464232953554794
М-07 Route (Zhytomyr Oblast),9.1,1.0,2.0,3.0,2.68,0.85,3.53,6.91,2.18,6.91,1.09,3.033333333333333,0.5,33.333333333333336,2.68,0.425,0.3879120879120879,1.0,0,0.1142998076154062
М-06 Route (Mali Sady),11.58,1.0,3.0,4.0,2.67,1.85,4.51,6.84,4.74,6.84,1.58,2.895,0.3333333333333333,25.0,2.67,0.6166666666666667,0.38946459412780654,1.0,0,0.11420728220292817
М1 Highway Corridor (Мірскі сельскі Савет),24.56,2.0,7.0,9.0,6.74,7.0,13.74,12.07,12.49,6.035,1.7842857142857143,2.7288888888888887,0.2857142857142857,22.22222222222222,3.37,1.0,0.5594462540716613,1.0,0,0.1138828040272487
E 20 Route (Västra Götaland County),24.48,2.0,7.0,9.0,6.79,5.62,12.41,12.04,12.44,6.02,1.7771428571428571,2.72,0.2857142857142857,22.22222222222222,3.395,0.8028571428571428,0.5069444444444444,1.0,0,0.11385361258618293
L'Occitane Highway Corridor (Saint-Pierre-Lafeuille),16.13,2.0,3.0,5.0,8.26,3.17,11.43,11.61,4.52,5.805,1.5066666666666666,3.226,0.6666666666666666,40.0,4.13,1.0566666666666666,0.708617482951023,1.0,0,0.1137693107974524
Motorway Autovía del Cantábrico Corridor (Ribeseya),25.85,2.0,7.0,9.0,6.56,7.58,14.13,12.06,13.79,6.03,1.97,2.8722222222222222,0.2857142857142857,22.22222222222222,3.28,1.082857142857143,0.546615087040619,1.0,0,0.11358167917667776
Motorway A6 Corridor (Veliki Jadrč),14.0,2.0,1.0,3.0,5.44,0.28,5.71,13.38,0.62,6.69,0.62,4.666666666666667,2.0,66.66666666666667,2.72,0.28,0.40785714285714286,1.0,0,0.11351897303378991
4 Route (Rovaniemi),6.09,1.0,1.0,2.0,4.32,0.1,4.42,5.94,0.16,5.94,0.16,3.045,1.0,50.0,4.32,0.1,0.7257799671592775,1.0,0,0.1133777183897782
Motorway M5 Corridor (Kiskunfélegyháza),61.36,2.0,26.0,28.0,5.51,28.89,34.39,10.67,50.69,5.335,1.9496153846153845,2.1914285714285713,0.07692307692307693,7.142857142857143,2.755,1.1111538461538462,0.5604628422425033,1.0,0,0.11327969002494837
B 213 Route (Werlte),14.25,2.0,1.0,3.0,6.42,0.8,7.22,12.68,1.57,6.34,1.57,4.75,2.0,66.66666666666667,3.21,0.8,0.5066666666666666,1.0,0,0.1128751860412301
Galleria Cardona Route (Trebisacce),7.83,1.0,1.0,2.0,4.07,1.27,5.34,5.96,1.86,5.96,1.86,3.915,1.0,50.0,4.07,1.27,0.6819923371647509,1.0,0,0.11231551276661966
Motorway E 6 Corridor (Trondheim),13.21,2.0,1.0,3.0,7.91,1.04,8.96,11.71,1.5,5.855,1.5,4.403333333333333,2.0,66.66666666666667,3.955,1.04,0.6782740348221045,1.0,0,0.11199663238697918
Motorway M1 Corridor (Leicester),13.18,2.0,1.0,3.0,7.86,0.92,8.77,11.73,1.45,5.865,1.45,4.3933333333333335,2.0,66.66666666666667,3.93,0.92,0.6654021244309559,1.0,0,0.1119208196347409
М-03 Route (Ivashchenko),9.4,1.0,2.0,3.0,2.6,1.03,3.63,6.73,2.67,6.73,1.335,3.1333333333333333,0.5,33.333333333333336,2.6,0.515,0.3861702127659574,1.0,0,0.11143726698582912
Motorway A 5 Corridor (Niederklein),8.07,1.0,1.0,2.0,3.38,0.93,4.32,6.29,1.78,6.29,1.78,4.035,1.0,50.0,3.38,0.93,0.5353159851301116,1.0,0,0.11131367380856648
D48 Highway Corridor (Heřmanice u Oder),19.86,1.0,8.0,9.0,3.66,9.0,12.66,5.78,14.08,5.78,1.76,2.2066666666666666,0.125,11.11111111111111,3.66,1.125,0.6374622356495468,1.0,0,0.11112253167034652
Motorway Autoroute des Cigognes Corridor (Obernai),21.83,2.0,6.0,8.0,7.43,7.17,14.6,11.38,10.45,5.69,1.7416666666666665,2.72875,0.3333333333333333,25.0,3.715,1.195,0.668804397617957,1.0,0,0.11109241074188866
Predor Pletovarje Highway Corridor (Celje),34.14,2.0,12.0,14.0,5.52,11.53,17.06,11.81,22.32,5.905,1.86,2.4385714285714286,0.16666666666666666,14.285714285714286,2.76,0.9608333333333333,0.49970708845928524,1.0,0,0.1108920370854201
Motorway A 83 Corridor (Fougeré),8.92,1.0,2.0,3.0,4.09,2.13,6.23,5.8,3.12,5.8,1.56,2.973333333333333,0.5,33.333333333333336,4.09,1.065,0.6984304932735427,1.0,0,0.11078090692752332
Motorway Autostrada del Sole Corridor (Coreno Ausonio),11.96,2.0,1.0,3.0,8.26,0.42,8.68,11.36,0.61,5.68,0.61,3.986666666666667,2.0,66.66666666666667,4.13,0.42,0.725752508361204,1.0,0,0.11063002060465094
М-03 Route (Kononivka),11.58,1.0,3.0,4.0,2.52,1.86,4.38,6.65,4.93,6.65,1.6433333333333333,2.895,0.3333333333333333,25.0,2.52,0.62,0.37823834196891193,1.0,0,0.11055893746510369
E 18 Route (Østfold),22.01,2.0,5.0,7.0,5.79,4.5,10.29,12.21,9.81,6.105,1.9620000000000002,3.1442857142857146,0.4,28.571428571428573,2.895,0.9,0.46751476601544745,1.0,0,0.11016124865720947
Motorway Autovía del Nordeste Corridor (Perdiguera),34.43,1.0,15.0,16.0,3.55,18.87,22.42,5.36,29.07,5.36,1.938,2.151875,0.06666666666666667,6.25,3.55,1.258,0.6511762997386001,1.0,0,0.11006453636739008
E 22 Route (Blekinge County),90.26,2.0,41.0,43.0,4.37,35.5,39.88,9.24,81.03,4.62,1.9763414634146341,2.099069767441861,0.04878048780487805,4.651162790697675,2.185,0.8658536585365854,0.4418346997562597,1.0,0,0.10997198051462082
Motorway Autoestrada do Norte Corridor (Unknown Area),7.18,1.0,1.0,2.0,3.74,0.8,4.54,5.99,1.19,5.99,1.19,3.59,1.0,50.0,3.74,0.8,0.6323119777158774,1.0,0,0.10989328260268756
Motorway M-40 Corridor (Pozuelo de Alarcón),26.85,1.0,11.0,12.0,3.24,11.95,15.2,5.72,21.13,5.72,1.920909090909091,2.2375000000000003,0.09090909090909091,8.333333333333334,3.24,1.0863636363636362,0.5661080074487895,1.0,0,0.10959058682098168
Motorway Autostrada Adriatica Corridor (Gioia del Colle),12.71,2.0,1.0,3.0,8.12,1.06,9.18,11.23,1.47,5.615,1.47,4.236666666666667,2.0,66.66666666666667,4.06,1.06,0.7222659323367426,1.0,0,0.10950752171798553
Motorway Autoestrada do Atlántico Corridor (Cangas),7.9,1.0,1.0,2.0,3.5,0.97,4.47,6.08,1.82,6.08,1.82,3.95,1.0,50.0,3.5,0.97,0.5658227848101265,1.0,0,0.10945227184686193
Motorway A74(M) Corridor (Ruthwell),12.68,2.0,1.0,3.0,7.61,0.79,8.39,11.52,1.16,5.76,1.16,4.226666666666667,2.0,66.66666666666667,3.805,0.79,0.6616719242902209,1.0,0,0.10939465912212269
Strada Statale 1 Aurelia Route (Suvereto),11.85,2.0,1.0,3.0,7.7,0.26,7.95,11.48,0.38,5.74,0.38,3.9499999999999997,2.0,66.66666666666667,3.85,0.26,0.6708860759493671,1.0,0,0.10918495441110523
М-07 Route (Stovpynka),20.29,1.0,7.0,8.0,2.46,5.42,7.88,6.33,13.96,6.33,1.9942857142857144,2.53625,0.14285714285714285,12.5,2.46,0.7742857142857142,0.38836865450961067,1.0,0,0.10907307205005834
Lövbergavägen Route (Jämtland County),9.75,1.0,2.0,3.0,2.65,1.31,3.96,6.49,3.25,6.49,1.625,3.25,0.5,33.333333333333336,2.65,0.655,0.40615384615384614,1.0,0,0.10882629312424827
М-03 Route (Podillia),18.4,2.0,3.0,5.0,4.81,2.11,6.92,12.76,5.64,6.38,1.88,3.6799999999999997,0.6666666666666666,40.0,2.405,0.7033333333333333,0.3760869565217392,1.0,0,0.10861077770376956
Motorway Eix del Llobregat Corridor (Artés),13.46,1.0,4.0,5.0,3.55,4.35,7.9,5.83,7.63,5.83,1.9075,2.692,0.25,20.0,3.55,1.0875,0.586924219910847,1.0,0,0.10859750544789365
М-03 Route (Orikhove),15.56,1.0,5.0,6.0,2.49,3.52,6.01,6.38,9.18,6.38,1.8359999999999999,2.5933333333333333,0.2,16.666666666666668,2.49,0.704,0.3862467866323907,1.0,0,0.10824641184405608
Motorway Autostrada del Sole Corridor (San Casciano in Val di Pesa),14.63,2.0,2.0,4.0,7.91,2.34,10.25,11.01,3.62,5.505,1.81,3.6575,1.0,50.0,3.955,1.17,0.7006151742993848,1.0,0,0.10794871243671011
DJ709 Corridor (Tăut),12.04,2.0,0.0,2.0,6.38,0.0,6.38,12.04,0.0,6.02,,6.02,,100.0,3.19,,0.5299003322259136,1.0,0,0.10774763566138174
Motorway E18 Corridor (Virolahti),17.44,2.0,3.0,5.0,6.43,3.06,9.49,11.71,5.73,5.855,1.9100000000000001,3.4880000000000004,0.6666666666666666,40.0,3.215,1.02,0.544151376146789,1.0,0,0.10774757719765193
Motorway M6 Corridor (Cumberland),11.67,2.0,1.0,3.0,7.61,0.25,7.86,11.32,0.35,5.66,0.35,3.89,2.0,66.66666666666667,3.805,0.25,0.6735218508997429,1.0,0,0.10772547707198596
Εγνατία Οδός Highway Corridor (Veria Municipality),5.79,1.0,0.0,1.0,3.86,0.0,3.86,5.79,0.0,5.79,,5.79,,100.0,3.86,,0.6666666666666666,1.0,0,0.10772046162006291
Αθήνα - Θεσσαλονίκη - Εύζωνοι Highway Corridor (Phthiotis Regional Unit),8.79,1.0,2.0,3.0,3.72,1.92,5.65,5.78,3.01,5.78,1.505,2.9299999999999997,0.5,33.333333333333336,3.72,0.96,0.6427758816837316,1.0,0,0.10758276778840184
Odvodni kanal Karašica Highway Corridor (Kamenac),29.27,1.0,12.0,13.0,2.95,10.02,12.97,5.67,23.6,5.67,1.9666666666666668,2.2515384615384617,0.08333333333333333,7.6923076923076925,2.95,0.835,0.4431158182439358,1.0,0,0.1075497168692211
Diramazione Napoli Highway Corridor (Unknown Area),13.92,2.0,2.0,4.0,7.24,1.6,8.84,11.37,2.55,5.685,1.275,3.48,1.0,50.0,3.62,0.8,0.6350574712643678,1.0,0,0.10742088501154695
Εγνατία Οδός Highway Corridor (Municipal Unit of Chalkidona),13.06,1.0,4.0,5.0,2.97,3.22,6.19,6.09,6.97,6.09,1.7425,2.612,0.25,20.0,2.97,0.805,0.4739663093415008,1.0,0,0.10731080032124014
Rombaksveien Route (Narvik),15.37,2.0,3.0,5.0,7.37,2.74,10.11,11.18,4.19,5.59,1.3966666666666667,3.074,0.6666666666666666,40.0,3.685,0.9133333333333334,0.6577748861418348,1.0,0,0.10721541613849074
Motorway A 60 Corridor (Birresborn),17.11,1.0,6.0,7.0,3.02,5.23,8.25,5.94,11.16,5.94,1.86,2.4442857142857144,0.16666666666666666,14.285714285714286,3.02,0.8716666666666667,0.4821741671537113,1.0,0,0.10721271800923442
Αθήνα - Θεσσαλονίκη - Εύζωνοι Highway Corridor (Municipal Unit of Ayios Konstantinos),11.35,1.0,3.0,4.0,3.6,3.47,7.08,5.74,5.61,5.74,1.87,2.8375,0.3333333333333333,25.0,3.6,1.1566666666666667,0.6237885462555066,1.0,0,0.10705094775532054
Motorway A 28 Corridor (Saint-Saëns),44.46,2.0,18.0,20.0,6.83,23.89,30.72,9.86,34.59,4.93,1.9216666666666669,2.223,0.1111111111111111,10.0,3.415,1.3272222222222223,0.6909581646423751,1.0,0,0.10703695490797979
Motorway M4 Corridor (Tidmarsh),6.79,1.0,1.0,2.0,3.99,0.79,4.78,5.63,1.15,5.63,1.15,3.395,1.0,50.0,3.99,0.79,0.7039764359351989,1.0,0,0.10701256697594674
Motorway Autoestrada de Trás-os-Montes e Alto Douro Corridor (Amarante),11.9,1.0,4.0,5.0,3.7,4.03,7.72,5.64,6.25,5.64,1.5625,2.38,0.25,20.0,3.7,1.0075,0.6487394957983192,1.0,0,0.10672782758571865
Αθήνα - Θεσσαλονίκη - Εύζωνοι Highway Corridor (Elassona Municipality),7.6,1.0,1.0,2.0,3.65,1.02,4.67,5.77,1.83,5.77,1.83,3.8,1.0,50.0,3.65,1.02,0.6144736842105263,1.0,0,0.10647469257411277
La Transeuropéenne Highway Corridor (Saint-Sulpice-de-Roumagnac),10.35,1.0,3.0,4.0,3.85,3.22,7.07,5.56,4.8,5.56,1.5999999999999999,2.5875,0.3333333333333333,25.0,3.85,1.0733333333333335,0.6830917874396136,1.0,0,0.10629557527335487
Motorway Most Krka Corridor (Grad Skradin),15.54,2.0,2.0,4.0,4.89,1.21,6.1,12.47,3.07,6.235,1.535,3.885,1.0,50.0,2.445,0.605,0.39253539253539255,1.0,0,0.10599762275446369
Motorway Autoroute de Lorraine-Bourgogne Corridor (Valforêt),17.81,1.0,7.0,8.0,3.71,8.66,12.37,5.41,12.4,5.41,1.7714285714285716,2.22625,0.14285714285714285,12.5,3.71,1.237142857142857,0.6945536215609208,1.0,0,0.10594801587137744
Motorway Autovía del Cantábrico Corridor (Villaviciosa),22.59,2.0,6.0,8.0,6.31,6.38,12.69,11.21,11.38,5.605,1.8966666666666667,2.82375,0.3333333333333333,25.0,3.155,1.0633333333333332,0.5617529880478087,1.0,0,0.10588504842053394
Pohjantie Highway Corridor (Oulu),12.36,1.0,4.0,5.0,3.87,5.23,9.09,5.46,6.9,5.46,1.725,2.472,0.25,20.0,3.87,1.3075,0.7354368932038835,1.0,0,0.10587617880737102
La Méridienne Highway Corridor (Bansat),11.86,2.0,1.0,3.0,7.62,0.61,8.24,10.97,0.89,5.485,0.89,3.953333333333333,2.0,66.66666666666667,3.81,0.61,0.6947723440134908,1.0,0,0.10555228297580749
Motorway A 81 Corridor (Buch),9.49,1.0,2.0,3.0,2.84,1.42,4.26,6.13,3.37,6.13,1.685,3.1633333333333336,0.5,33.333333333333336,2.84,0.71,0.44889357218124337,1.0,0,0.1055239414917039
Motorway Eix del Llobregat Corridor (Puig-reig),7.82,1.0,2.0,3.0,3.54,1.3,4.84,5.75,2.08,5.75,1.04,2.606666666666667,0.5,33.333333333333336,3.54,0.65,0.618925831202046,1.0,0,0.10543436295472976
Motorway Autovía de la Costa de la Luz Corridor (Unknown Area),13.79,2.0,2.0,4.0,6.5,1.29,7.79,11.47,2.32,5.735,1.16,3.4475,1.0,50.0,3.25,0.645,0.564902102973169,1.0,0,0.10513516693451956
Skorgedalsvegen Route (Møre og Romsdal),11.42,2.0,1.0,3.0,7.36,0.21,7.57,11.06,0.36,5.53,0.36,3.8066666666666666,2.0,66.66666666666667,3.68,0.21,0.6628721541155868,1.0,0,0.1049639774859189
Taulovmotorvejen Highway Corridor (Brenderup),19.87,1.0,8.0,9.0,2.78,5.65,8.44,5.83,14.04,5.83,1.755,2.207777777777778,0.125,11.11111111111111,2.78,0.70625,0.4247609461499748,1.0,0,0.10490347876047151
Kauno pl. Highway Corridor (Dainiai),10.88,2.0,0.0,2.0,7.6,0.0,7.6,10.88,0.0,5.44,,5.44,,100.0,3.8,,0.6985294117647058,1.0,0,0.10453274804083021
Strada Statale 106 Jonica Corridor (Santa Caterina dello Ionio),11.91,2.0,1.0,3.0,7.58,0.78,8.36,10.82,1.09,5.41,1.09,3.97,2.0,66.66666666666667,3.79,0.78,0.7019311502938707,1.0,0,0.10443655766121443
Motorway Autovía Mudéjar Corridor (Almudévar),13.69,1.0,5.0,6.0,3.36,4.18,7.54,5.61,8.07,5.61,1.614,2.2816666666666667,0.2,16.666666666666668,3.36,0.836,0.5507669831994156,1.0,0,0.10432893378066838
Inlandsvägen Route (Västerbotten County),59.86,3.0,24.0,27.0,6.23,18.53,24.75,15.24,44.64,5.08,1.86,2.217037037037037,0.125,11.11111111111111,2.0766666666666667,0.7720833333333333,0.413464751085867,1.0,0,0.10411369770973458
Hämeenlinnanväylä Highway Corridor (Nurmijärvi),13.36,2.0,2.0,4.0,7.16,1.37,8.52,10.94,2.42,5.47,1.21,3.34,1.0,50.0,3.58,0.685,0.6377245508982036,1.0,0,0.10410319869148976
М-02 Route (Sumy Oblast),9.22,1.0,2.0,3.0,2.42,1.14,3.56,6.27,2.95,6.27,1.475,3.0733333333333337,0.5,33.333333333333336,2.42,0.57,0.386117136659436,1.0,0,0.10397005078298693
N 51 Highway Corridor (Thugny-Trugny),16.22,2.0,3.0,5.0,7.01,3.64,10.65,10.8,5.41,5.4,1.8033333333333335,3.2439999999999998,0.6666666666666666,40.0,3.505,1.2133333333333334,0.656596794081381,1.0,0,0.10364050375534056
A16 Route (Žilinčiškės),18.51,2.0,4.0,6.0,4.73,2.53,7.25,11.99,6.52,5.995,1.63,3.0850000000000004,0.5,33.333333333333336,2.365,0.6325,0.39168017287952456,1.0,0,0.10331982024693101
Dundalk Western Bypass Highway Corridor (County Down),11.07,2.0,0.0,2.0,6.87,0.0,6.87,11.07,0.0,5.535,,5.535,,100.0,3.435,,0.6205962059620597,1.0,0,0.10298851822754407
Motorway Autovía de Guadix a Límite de Región de Murcia Corridor (Oria),7.35,1.0,1.0,2.0,3.32,0.97,4.29,5.7,1.65,5.7,1.65,3.675,1.0,50.0,3.32,0.97,0.5836734693877551,1.0,0,0.10289384469658186
Motorway Autostrada București-Pitești Corridor (Urlucea),13.44,2.0,2.0,4.0,7.07,1.78,8.85,10.76,2.68,5.38,1.34,3.36,1.0,50.0,3.535,0.89,0.6584821428571429,1.0,0,0.10260752210160519
Vadheimsvegen Route (Vestland),11.87,2.0,1.0,3.0,5.58,0.06,5.64,11.71,0.16,5.855,0.16,3.9566666666666666,2.0,66.66666666666667,2.79,0.06,0.4751474304970514,1.0,0,0.10241064271369801
D55 Highway Corridor (Bzenec),12.7,1.0,4.0,5.0,3.58,4.81,8.39,5.35,7.35,5.35,1.8375,2.54,0.25,20.0,3.58,1.2025,0.6606299212598427,1.0,0,0.10230006073754477
D3 Highway Corridor (Istebna),11.29,2.0,1.0,3.0,6.98,0.3,7.28,10.83,0.46,5.415,0.46,3.763333333333333,2.0,66.66666666666667,3.49,0.3,0.6448184233835254,1.0,0,0.10193368055995271
Șoseaua Giurgiului Route (Giurgiu),7.53,1.0,2.0,3.0,3.67,1.46,5.13,5.41,2.12,5.41,1.06,2.5100000000000002,0.5,33.333333333333336,3.67,0.73,0.6812749003984063,1.0,0,0.10191313066979446
N 147 Route (Civaux),11.6,2.0,1.0,3.0,7.36,0.7,8.06,10.55,1.05,5.275,1.05,3.8666666666666667,2.0,66.66666666666667,3.68,0.7,0.6948275862068967,1.0,0,0.1017053363285172
Motorway E42 Corridor (Honvelez),13.47,2.0,2.0,4.0,6.25,1.16,7.41,11.1,2.37,5.55,1.185,3.3675,1.0,50.0,3.125,0.58,0.5501113585746102,1.0,0,0.10163141791973485
М1 Highway Corridor (Перасадскі сельскі Савет),11.47,1.0,4.0,5.0,3.36,3.64,7.0,5.45,6.02,5.45,1.505,2.294,0.25,20.0,3.36,0.91,0.6102877070619006,1.0,0,0.10143953267118085
N 57 Route (Saint-Sauveur),25.14,2.0,8.0,10.0,6.71,9.9,16.61,10.14,15.01,5.07,1.87625,2.5140000000000002,0.25,20.0,3.355,1.2375,0.6607000795544948,1.0,0,0.1013972700010715
Motorway Autopista del Ebro Corridor (Calahorra),25.13,2.0,8.0,10.0,6.51,8.55,15.06,10.17,14.97,5.085,1.87125,2.513,0.25,20.0,3.255,1.06875,0.599283724631914,1.0,0,0.10080798558738217
Motorway Autopista del Mediterráneo Corridor (Marbella),12.22,1.0,4.0,5.0,3.29,4.42,7.71,5.42,6.8,5.42,1.7,2.444,0.25,20.0,3.29,1.105,0.6309328968903437,1.0,0,0.10077324431556249
Motorway A4 Corridor (Babicko),28.25,2.0,9.0,11.0,4.39,6.57,10.96,11.24,17.01,5.62,1.8900000000000001,2.5681818181818183,0.2222222222222222,18.181818181818183,2.195,0.73,0.38796460176991154,1.0,0,0.10063071759819017
Motorway M40 Corridor (West Oxfordshire),14.24,1.0,5.0,6.0,3.36,5.58,8.95,5.27,8.97,5.27,1.794,2.3733333333333335,0.2,16.666666666666668,3.36,1.116,0.6285112359550561,1.0,0,0.10009633063769785
Galleria Cozzo Inferno Highway Corridor (Rosolini),7.37,1.0,1.0,2.0,3.47,1.27,4.74,5.37,2.0,5.37,2.0,3.685,1.0,50.0,3.47,1.27,0.6431478968792402,1.0,0,0.0997714464490343
Motorway E 6 Corridor (Akershus),15.82,2.0,3.0,5.0,6.7,2.9,9.6,10.41,5.4,5.205,1.8,3.164,0.6666666666666666,40.0,3.35,0.9666666666666667,0.6068268015170669,1.0,0,0.09974308602852147
вулиця Дружби Route (Konoplianka),11.79,1.0,3.0,4.0,2.29,2.25,4.54,5.95,5.85,5.95,1.95,2.9475,0.3333333333333333,25.0,2.29,0.75,0.3850720949957592,1.0,0,0.0997140493062881
Motorway Eibar-Gasteiz autobidea Corridor (Arratzu),8.28,1.0,2.0,3.0,3.43,1.92,5.35,5.31,2.97,5.31,1.485,2.76,0.5,33.333333333333336,3.43,0.96,0.6461352657004831,1.0,0,0.09900641153070366
D6 Highway Corridor (Bor),9.59,1.0,3.0,4.0,3.13,2.26,5.39,5.44,4.15,5.44,1.3833333333333335,2.3975,0.3333333333333333,25.0,3.13,0.7533333333333333,0.5620437956204379,1.0,0,0.09883171532164414
Hirtshalsmotorvejen Highway Corridor (Brønderslev),67.4,1.0,32.0,33.0,2.28,30.87,33.15,4.33,63.07,4.33,1.9709375,2.0424242424242425,0.03125,3.0303030303030303,2.28,0.9646875,0.4918397626112759,1.0,0,0.09865641338531615
Motorway Autoestrada do Norte Corridor (Leiria),5.24,1.0,0.0,1.0,3.64,0.0,3.64,5.24,0.0,5.24,,5.24,,100.0,3.64,,0.6946564885496184,1.0,0,0.09863368187193594
DN7 Corridor (Bârzava),25.06,2.0,8.0,10.0,5.97,8.76,14.73,10.15,14.91,5.075,1.86375,2.506,0.25,20.0,2.985,1.095,0.5877893056664006,1.0,0,0.09854310064530057
Motorway Autoroute du Soleil Corridor (Clervaux),30.22,2.0,10.0,12.0,5.32,10.68,16.0,10.25,19.97,5.125,1.9969999999999999,2.518333333333333,0.2,16.666666666666668,2.66,1.068,0.5294506949040371,1.0,0,0.09852443607127702
Périphérique Intérieur - Pont autoroutier de l'O.N.I.A. Highway Corridor (Cugnaux),21.48,2.0,6.0,8.0,7.12,8.27,15.39,9.63,11.85,4.815,1.9749999999999999,2.685,0.3333333333333333,25.0,3.56,1.3783333333333332,0.7164804469273743,1.0,0,0.09834957924447267
Motorway M18 Corridor (Rotherham),7.65,1.0,2.0,3.0,3.57,1.67,5.25,5.17,2.49,5.17,1.245,2.5500000000000003,0.5,33.333333333333336,3.57,0.835,0.6862745098039216,1.0,0,0.0980470999803865
Браће Миладинов Corridor (Backi Monostor),7.93,1.0,2.0,3.0,2.61,0.86,3.46,5.73,2.2,5.73,1.1,2.643333333333333,0.5,33.333333333333336,2.61,0.43,0.4363177805800757,1.0,0,0.09794850812487155
Diramazione Gallarate - Gattico Highway Corridor (Sesona),8.44,1.0,2.0,3.0,3.6,2.53,6.13,5.12,3.32,5.12,1.66,2.813333333333333,0.5,33.333333333333336,3.6,1.265,0.726303317535545,1.0,0,0.09791578617644092
Motorway Autoroute du Soleil Corridor (Thomery),17.18,2.0,4.0,6.0,6.71,4.95,11.66,10.04,7.14,5.02,1.785,2.8633333333333333,0.5,33.333333333333336,3.355,1.2375,0.6786961583236322,1.0,0,0.09786320583494613
